speed,acceleration,temperature,humidity,roadGrade
0.0,0.0,50.41,0.72,-0.0063492063492063
0.0,0.0,50.41,0.72,-0.0061224489795918
0.0,0.0,50.41,0.72,-0.0058956916099773
0.0,0.0,50.41,0.72,-0.0056689342403628
0.0,0.0,50.41,0.72,-0.0054421768707483
0.0,0.0,50.41,0.72,-0.0052154195011337
0.0,0.0,50.41,0.72,-0.0049886621315192
0.0,0.0,50.41,0.72,-0.0047619047619047
0.0,0.0,50.41,0.72,-0.0045351473922902
0.0,0.0,50.41,0.72,-0.0043083900226757
0.0,0.0,50.41,0.72,-0.0040816326530612
0.0,0.0,50.41,0.72,-0.0038548752834467
0.0,0.0,50.41,0.72,-0.0036281179138322
0.0,0.0,50.41,0.72,-0.0034013605442176
0.0,0.0,50.41,0.72,-0.0031746031746031
0.0,0.0,50.41,0.72,-0.0029478458049886
0.0,0.0,50.41,0.72,-0.0027210884353741
0.0,0.0,50.41,0.72,-0.0024943310657596
0.0,0.0,50.41,0.72,-0.0022675736961451
0.0,0.0,50.41,0.72,-0.0020408163265306
0.0,0.0,50.41,0.72,-0.001814058956916
0.0,0.0,50.41,0.72,-0.0015873015873015
0.0,0.0,50.41,0.72,-0.001360544217687
0.0,0.0,50.41,0.72,-0.0011337868480725
0.0,0.0,50.41,0.72,-0.000907029478458
0.0,0.0,50.41,0.72,-0.0006802721088435
0.99940014,0.91080207,50.41,0.72,-0.000453514739229
5.99961952,4.55694369,50.41,0.72,-0.0002267573696145
11.99923904,5.46774576,50.41,0.72,0.0
18.99986804,6.380014499999998,50.41,0.72,0.0
24.99948756,5.467745760000003,50.41,0.72,-0.0002841757710195
26.00049704,0.9122687399999948,50.41,0.72,-0.0005683515420391
23.00068728,-2.7338728799999963,50.41,0.72,-0.0059994803454574
19.99926818,-2.735339549999999,50.41,0.72,-0.1
16.99945842,-2.73387288,50.41,0.72,3.467907715939555e-05
13.99964866,-2.7338728800000016,50.41,0.72,-0.1
10.9998389,-2.73387288,50.41,0.72,-0.1
10.9998389,0.0,50.41,0.72,-0.0051825954109537
10.9998389,0.0,50.41,0.72,-0.0028552440214354
10.00043876,-0.910802069999999,50.41,0.72,-0.1
8.99942928,-0.91226874,50.41,0.72,-0.0060996643386912
8.00002914,-0.91080207,50.41,0.72,0.1
8.00002914,0.0,50.41,0.72,0.0
10.9998389,2.733872879999999,50.41,0.72,0.1
18.99986804,7.290816569999999,50.41,0.72,-0.0038378178749658
23.00068728,3.6461416200000016,50.41,0.72,0.1
26.99989718,3.6446749500000015,50.41,0.72,-0.0019651477046777
32.00011656,4.556943689999997,50.41,0.72,-0.0015390904704267
34.99992632,2.73387288,50.41,0.72,-0.0004739473881734
37.00033594,1.8230708100000008,50.41,0.72,-0.0039091026399913
40.0001457,2.73387288,50.41,0.72,0.1
42.00055532,1.8230708099999973,50.41,0.72,-0.0012561532391841
43.9993556,1.821604139999998,50.41,0.72,0.0019004134273472
43.9993556,0.0,50.41,0.72,0.0034062560214414
45.00036508,0.9122687400000018,50.41,0.72,-0.0002080744629323
45.00036508,0.0,50.41,0.72,0.0043869032583836
45.99976522,0.9108020700000026,50.41,0.72,0.1
45.99976522,0.0,50.41,0.72,0.0034191001254684
45.99976522,0.0,50.41,0.72,0.0032855214579069
45.99976522,0.0,50.41,0.72,0.006721961119236
43.9993556,-1.8230708100000044,50.41,0.72,0.1
42.00055532,-1.821604139999998,50.41,0.72,-0.0017686329349249
40.0001457,-1.8230708099999973,50.41,0.72,0.00472277654064
37.99973608,-1.8230708100000044,50.41,0.72,0.0003768459718771
34.99992632,-2.7338728799999963,50.41,0.72,0.1
32.00011656,-2.73387288,50.41,0.72,0.0009273442105907
29.0003068,-2.73387288,50.41,0.72,0.0029246021722557
24.99948756,-3.646141619999998,50.41,0.72,0.0058954431211824
18.99986804,-5.467745760000003,50.41,0.72,-0.1
16.99945842,-1.8230708099999973,50.41,0.72,0.0107794131447766
11.99923904,-4.556943690000001,50.41,0.72,0.0005895443114033
5.99961952,-5.46774576,50.41,0.72,0.1
2.00040962,-3.64467495,50.41,0.72,0.0063501243553651
0.0,-1.82307081,50.41,0.72,0.1
0.0,0.0,50.41,0.72,0.0952380952380952
0.0,0.0,50.41,0.72,0.0904761904761904
0.0,0.0,50.41,0.72,0.0857142857142857
0.0,0.0,50.41,0.72,0.0809523809523809
0.0,0.0,50.41,0.72,0.0761904761904762
0.0,0.0,50.41,0.72,0.0714285714285714
0.0,0.0,50.41,0.72,0.0666666666666666
0.0,0.0,50.41,0.72,0.0619047619047619
0.0,0.0,50.41,0.72,0.0571428571428571
0.0,0.0,50.41,0.72,0.0523809523809523
0.0,0.0,50.41,0.72,0.0476190476190476
0.0,0.0,50.41,0.72,0.0428571428571428
0.0,0.0,50.41,0.72,0.0380952380952381
0.0,0.0,50.41,0.72,0.0333333333333333
0.0,0.0,50.41,0.72,0.0285714285714285
0.0,0.0,50.41,0.72,0.0238095238095238
0.0,0.0,50.41,0.72,0.019047619047619
0.0,0.0,50.41,0.72,0.0142857142857142
0.99940014,0.91080207,50.41,0.72,0.0095238095238095
5.99961952,4.55694369,50.41,0.72,0.0047619047619047
11.99923904,5.46774576,50.41,0.72,0.0
18.0004679,5.469212429999999,50.41,0.72,0.0079318755980092
24.00008742,5.46774576,50.41,0.72,0.0158637511960184
29.0003068,4.556943690000001,50.41,0.72,0.1
32.9995167,3.644674949999999,50.41,0.72,-0.0081438032820322
35.99932646,2.73387288,50.41,0.72,0.0073500377385742
37.00033594,0.9122687400000018,50.41,0.72,0.0039897452579571
38.99913622,1.821604139999998,50.41,0.72,-0.0036278167920669
40.99954584,1.8230708099999973,50.41,0.72,0.004354150798399
42.00055532,0.9122687400000018,50.41,0.72,0.004131947819211
42.00055532,0.0,50.41,0.72,0.1
40.99954584,-0.9122687400000018,50.41,0.72,0.0107216146906753
37.99973608,-2.73387288,50.41,0.72,0.0121145576147194
37.99973608,0.0,50.41,0.72,0.1
37.99973608,0.0,50.41,0.72,0.0179791748896724
37.99973608,0.0,50.41,0.72,0.0053440457874854
37.99973608,0.0,50.41,0.72,0.0
37.00033594,-0.9108020699999956,50.41,0.72,0.0171854093458934
34.00052618,-2.7338728800000034,50.41,0.72,0.0
29.99970694,-3.646141619999998,50.41,0.72,0.1
26.00049704,-3.6446749500000015,50.41,0.72,0.0082734369794557
23.00068728,-2.7338728799999963,50.41,0.72,0.0
18.99986804,-3.6461416200000016,50.41,0.72,0.1
16.00005828,-2.733872879999998,50.41,0.72,0.1
11.99923904,-3.64614162,50.41,0.72,0.00977179329228
10.9998389,-0.9108020700000008,50.41,0.72,-0.0050901178843673
10.00043876,-0.910802069999999,50.41,0.72,0.1
7.000628999999999,-2.7338728800000007,50.41,0.72,0.0188962437883397
5.00021938,-1.823070809999999,50.41,0.72,0.0594481218941699
5.99961952,0.91080207,50.41,0.72,0.1
11.99923904,5.46774576,50.41,0.72,0.0
18.99986804,6.380014499999998,50.41,0.72,0.0135132803763677
24.00008742,4.556943690000001,50.41,0.72,0.1
29.0003068,4.556943690000001,50.41,0.72,-0.0001618356934105
32.00011656,2.73387288,50.41,0.72,0.0016491827796119
34.00052618,1.8230708099999973,50.41,0.72,0.0
35.99932646,1.8216041400000016,50.41,0.72,-0.0022098278627438
35.99932646,0.0,50.41,0.72,-0.1
37.00033594,0.9122687400000018,50.41,0.72,0.0
35.99932646,-0.9122687400000018,50.41,0.72,-0.0115038205339519
34.99992632,-0.910802069999999,50.41,0.72,-0.0098218852925953
34.00052618,-0.9108020700000026,50.41,0.72,-0.0070976511216008
32.9995167,-0.9122687399999982,50.41,0.72,-0.0094230759054695
29.0003068,-3.644674949999999,50.41,0.72,0.0054115874214923
26.00049704,-2.7338728800000034,50.41,0.72,-0.0008016096190243
23.00068728,-2.7338728799999963,50.41,0.72,-0.0070148066595409
19.99926818,-2.735339549999999,50.41,0.72,-0.0021616624777669
21.00027766,0.9122687399999982,50.41,0.72,-0.1
23.00068728,1.8230708100000008,50.41,0.72,0.0
24.00008742,0.910802069999999,50.41,0.72,-0.0076197638941182
26.00049704,1.8230708099999973,50.41,0.72,-0.1
27.99929732,1.8216041400000016,50.41,0.72,0.0
29.0003068,0.9122687400000018,50.41,0.72,-0.006519666502578
32.9995167,3.644674949999999,50.41,0.72,-0.0648498741757256
37.00033594,3.6461416200000016,50.41,0.72,-0.0014411083167636
37.99973608,0.9108020699999956,50.41,0.72,0.1
37.99973608,0.0,50.41,0.72,-0.0013201168708087
35.99932646,-1.8230708099999973,50.41,0.72,-0.0109759279152443
34.99992632,-0.910802069999999,50.41,0.72,-0.0084989427236006
35.99932646,0.910802069999999,50.41,0.72,-0.1
35.99932646,0.0,50.41,0.72,-0.0011508315965225
35.99932646,0.0,50.41,0.72,-0.0239434257016226
37.00033594,0.9122687400000018,50.41,0.72,0.0
37.00033594,0.0,50.41,0.72,-0.0571742384444098
