speed,acceleration,temperature,humidity,roadGrade
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.0,0.0,71.19,1.0,0.0
0.31221196,0.0867255444444444,71.19,1.0,0.0
4.9728606,1.2946246222222224,71.19,1.0,0.0
7.02798778,0.5708686611111111,71.19,1.0,0.0
7.86645392,0.2329072611111111,71.19,1.0,0.0
8.33959988,0.131429433333333,71.19,1.0,0.0
9.3824522,0.2896811999999999,71.19,1.0,-0.0009690875433865
12.68320854,0.9168767611111116,71.19,1.0,-0.001938175086773
16.725870620000002,1.1229616888888891,71.19,1.0,0.0
22.35212326,1.5628479555555552,71.19,1.0,0.0026779954047201
29.62151204,2.01927466111111,71.19,1.0,0.0
36.17635386,1.8207893944444449,71.19,1.0,-0.0119334557674256
