speed,acceleration,temperature,humidity,roadGrade
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
0.0,0.0,67.69,0.99,0.0
