speed,acceleration,temperature,humidity,roadGrade
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
0.0,0.0,87.98,0.64,0.0
